County ,Rank
Adams,84
Allen,9
Ashland,73
Ashtabula,29
Athens,32
Auglaize,77
Belmont,43
Brown,79
Butler,10
Carroll,82
Champaign,51
Clark,13
Clermont,56
Clinton,49
Columbiana,54
Coshocton,75
Crawford,71
Cuyahoga,1
Darke,69
Defiance,16
Delaware,19
Erie,11
Fairfield,21
Fayette,47
Franklin,3
Fulton,24
Gallia,48
Geauga,63
Greene,12
Guernsey,64
Hamilton,2
Hancock,27
Hardin,66
Harrison,65
Henry,30
Highland,68
Hocking,78
Holmes,86
Huron,35
Jackson,76
Jefferson,33
Knox,67
Lake,28
Lawrence,59
Licking,38
Logan,58
Lorain,8
Lucas,4
Madison,22
Mahoning,6
Marion,23
Medina,55
Meigs,81
Mercer,72
Miami,45
Monroe,88
Montgomery,5
Morgan,52
Morrow,80
Muskingum,42
Noble,60
Ottawa,41
Paulding,39
Perry,87
Pickaway,44
Pike,74
Portage,34
Preble,83
Putnam,37
Richland,15
Ross,26
Sandusky,14
Scioto,46
Seneca,31
Shelby,50
Stark,18
Summit,7
Trumbull,17
Tuscarawas,61
Union,36
Van Wert,57
Vinton,85
Warren,20
Washington,70
Wayne,53
Williams,40
Wood,25
Wyandot,62
